.target	sm_121a

	.elftype	@"ET_EXEC"


//--------------------- .text._tree_gdn_path_kernel --------------------------
	.section	.text._tree_gdn_path_kernel,"ax",@progbits
	.align	128
        .global         _tree_gdn_path_kernel
        .type           _tree_gdn_path_kernel,@function
        .size           _tree_gdn_path_kernel,(.L_x_11 - _tree_gdn_path_kernel)
        .other          _tree_gdn_path_kernel,@"STO_CUDA_ENTRY STV_DEFAULT"
_tree_gdn_path_kernel:
.text._tree_gdn_path_kernel:
        /*0000*/                   LDC R1, c[0x0][0x37c] ;
        /*0010*/                   LDCU.64 UR32, c[0x0][0x358] ;
        /*0020*/                   LDC.64 R2, c[0x0][0x3d0] ;
        /*0030*/                   S2UR UR36, SR_CTAID.Z ;
        /*0040*/                   LDC.64 R4, c[0x0][0x3f8] ;
        /*0050*/                   LDG.E.64 R2, desc[UR32][R2.64] ;
        /*0060*/                   S2UR UR37, SR_CTAID.Y ;
        /*0070*/                   S2R R0, SR_TID.X ;
        /*0080*/                   LDC.64 R6, c[0x0][0x3c8] ;
        /*0090*/                   UIMAD.WIDE.U32 UR8, UR36, 0x4, URZ ;
        /*00a0*/                   USHF.L.U32 UR6, UR36, 0x2, URZ ;
        /*00b0*/                   S2UR UR4, SR_CTAID.X ;
        /*00c0*/                   UMOV UR7, UR9 ;
        /*00d0*/                   IADD.64 R4, R4, UR6 ;
        /*00e0*/                   USHF.L.U32 UR8, UR37, 0x3, URZ ;
        /*00f0*/                   LDG.E R12, desc[UR32][R4.64] ;
        /*0100*/                   MOV R21, UR8 ;
        /*0110*/                   MOV R23, UR8 ;
        /*0120*/                   MOV R25, UR8 ;
        /*0130*/                   SHF.R.U32.HI R56, RZ, 0x7, R0 ;
        /*0140*/                   SGXT.U32 R56, R56, 0x1 ;
        /*0150*/                   MOV R11, UR4 ;
        /*0160*/                   MOV R5, UR4 ;
        /*0170*/                   LOP3.LUT R18, R56, UR8, RZ, 0xfc, !PT ;
        /*0180*/                   LOP3.LUT R20, R21, 0x2, R56.reuse, 0xfe, !PT ;
        /*0190*/                   LOP3.LUT R22, R23, 0x4, R56.reuse, 0xfe, !PT ;
        /*01a0*/                   LOP3.LUT R24, R25, 0x6, R56, 0xfe, !PT ;
        /*01b0*/                   IMAD R8, R11, 0x80, R22 ;
        /*01c0*/                   IMAD R10, R5, 0x80, R24 ;
        /*01d0*/                   UISETP.GE.U32.AND UP0, UPT, UR37, 0x10, UPT ;
        /*01e0*/                   IMAD.SHL.U32 R11, R10.reuse, 0x80, RZ ;
        /*01f0*/                   IMAD.SHL.U32 R10, R10, 0x200, RZ ;
        /*0200*/                   IMAD.HI R11, R11, 0x4, RZ ;
        /*0210*/                   PLOP3.LUT P0, PT, PT, PT, UP0, 0x80, 0x8 ;
        /*0220*/                   LOP3.LUT R13, R0, 0x7f, RZ, 0xc0, !PT ;
        /*0230*/                   CS2R R34, SRZ ;
        /*0240*/                   CS2R R36, SRZ ;
        /*0250*/                   IMAD R9, R3, 0x300000, RZ ;
        /*0260*/                   IMAD.WIDE.U32 R6, R2, 0x300000, R6 ;
        /*0270*/                   IADD3 R3, PT, PT, R7, R9, RZ ;
        /*0280*/                   MOV R7, UR4 ;
        /*0290*/                   MOV R9, UR4 ;
        /*02a0*/                   MOV R2, R6 ;
        /*02b0*/                   IMAD R4, R7, 0x80, R18 ;
        /*02c0*/                   IMAD R6, R9, 0x80, R20 ;
        /*02d0*/                   IMAD.SHL.U32 R5, R4, 0x80, RZ ;
        /*02e0*/                   IMAD.SHL.U32 R7, R6, 0x80, RZ ;
        /*02f0*/                   IMAD.SHL.U32 R9, R8, 0x80, RZ ;
        /*0300*/                   IMAD.SHL.U32 R4, R4, 0x200, RZ ;
        /*0310*/                   IMAD.SHL.U32 R6, R6, 0x200, RZ ;
        /*0320*/                   IMAD.SHL.U32 R8, R8, 0x200, RZ ;
        /*0330*/                   IMAD.HI R5, R5, 0x4, RZ ;
        /*0340*/                   IMAD.HI R7, R7, 0x4, RZ ;
        /*0350*/                   IMAD.HI R9, R9, 0x4, RZ ;
        /*0360*/                   IADD.64 R4, R2.reuse, R4 ;
        /*0370*/                   IADD.64 R6, R2.reuse, R6 ;
        /*0380*/                   IADD.64 R8, R2.reuse, R8 ;
        /*0390*/                   IADD.64 R10, R2, R10 ;
        /*03a0*/                   IMAD.WIDE.U32 R4, R13, 0x4, R4 ;
        /*03b0*/                   IMAD.WIDE.U32 R6, R13.reuse, 0x4, R6 ;
        /*03c0*/              @!P0 LDG.E R35, desc[UR32][R4.64] ;
        /*03d0*/                   IMAD.WIDE.U32 R8, R13.reuse, 0x4, R8 ;
        /*03e0*/              @!P0 LDG.E R34, desc[UR32][R6.64] ;
        /*03f0*/                   IMAD.WIDE.U32 R10, R13, 0x4, R10 ;
        /*0400*/              @!P0 LDG.E R37, desc[UR32][R8.64] ;
        /*0410*/              @!P0 LDG.E R36, desc[UR32][R10.64] ;
        /*0420*/                   R2UR UR6, R12 ;
        /*0430*/                   LOP3.LUT R3, R0, 0xff, RZ, 0xc0, !PT ;
        /*0440*/                   UISETP.GE.AND UP0, UPT, UR6, 0x1, UPT ;
        /*0450*/                   BRA.U !UP0, `(.L_x_0) ;
        /*0460*/                   S2UR UR30, SR_CgaCtaId ;
        /*0470*/                   UIMAD UR26, UR36, 0x5, URZ ;
        /*0480*/                   LDCU.128 UR40, c[0x0][0x420] ;
        /*0490*/                   LOP3.LUT R2, R0.reuse, 0x1f, RZ, 0xc0, !PT ;
        /*04a0*/                   HFMA2 R21, -RZ, RZ, 0, 0 ;
        /*04b0*/                   ISETP.GE.U32.AND P1, PT, R3, 0x20, PT ;
        /*04c0*/                   UIMAD.WIDE.U32 UR26, UR26, 0x4, URZ ;
        /*04d0*/                   LDCU.128 UR12, c[0x0][0x3b0] ;
        /*04e0*/                   LDC.64 R26, c[0x0][0x380] ;
        /*04f0*/                   LOP3.LUT R4, R0, 0x80, RZ, 0xc0, !PT ;
        /*0500*/                   HFMA2 R25, -RZ, RZ, 0, 0 ;
        /*0510*/                   ISETP.EQ.U32.AND P2, PT, R2, RZ, !P1 ;
        /*0520*/                   UIMAD.WIDE.U32 UR24, UR4, 0x55555556, URZ ;
        /*0530*/                   UMOV UR23, 0x400 ;
        /*0540*/                   LDCU.64 UR28, c[0x0][0x3e8] ;
        /*0550*/                   MOV R5, UR8 ;
        /*0560*/                   LDC.64 R28, c[0x0][0x388] ;
        /*0570*/                   LOP3.LUT P4, RZ, R0, 0x18, RZ, 0xc0, !PT ;
        /*0580*/                   LDCU.64 UR16, c[0x0][0x3c0] ;
        /*0590*/                   P2R R48, PR, RZ, 0x4 ;
